StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,ResponseId,UserLanguage,RecordedDate,curso,escolaridade,área_estudo,renda,verif_contrato_2,idade,renda_e_pessoas,contrato_AB,contrato_CD,contrato_EF,poltrona_venda_reais,poltrona_compra_reai,poltrona_venda_porce,Q30,verif_poltrona,verif_casa
2021-12-10 15:21:14,2021-12-10 15:44:59,IP Address,100,1425,True,R_9QR94jv7lX8OuYx,PT-BR,2021-12-10 15:45:00,"Engenharia de Produção ",Superior (incompleto),Exatas,"De 12 a 15 salários mínimos (R$ 12540,01 até R$ 15675)",10%,22,3,,,"Contrato 2:
Você concorda em vender os sistemas de computador no preço de 2013.",,,Igual,Menos suscetível,Aumentou,1 ano
2021-12-10 13:10:21,2021-12-10 16:10:23,IP Address,100,10801,True,R_3MFocm3fWoe2O6Y,PT-BR,2021-12-10 16:10:23,medicina,Superior (incompleto),Saúde,"Mais de 15 salários mínimos (mais de R$ 15675,01)",10%,22,4,,"Contrato 2:
Você concorda em vender os sistemas de computador no preço de 2013. Sendo assim, em vez de vender a R$1.200 com certeza, você será pago de acordo com a taxa de inflação. Se a inflação passar 20%, você ganhará mais. Se ela for inferior, você ganhará menos.",,Igual,Igual,,,Aumentou,1 ano
2021-12-10 20:41:38,2021-12-10 20:50:46,IP Address,100,548,True,R_2EtUVJxeaLbGlmA,PT-BR,2021-12-10 20:50:46,,Ensino Médio (completo),Não cursei,"De 1 a 3 salários mínimos (R$ 1045,01 até R$ 3135)",20%,24,3,"Contrato 2:
Você concorda em vender os computadores no preço de 2013. Sendo assim, se a inflação ultrapassar 20%, você será pago mais do que R$1.200 e se a inflação for inferior a 20%, você será pago menos do que R$1.200. Como ambas despesas de produção e preços estão ligadas a taxa de inflação, seu lucro ""real"" permanecerá essencialmente o mesmo independente da taxa de inflação.",,,,,Mais suscetível,Menos suscetível,Aumentou,1 ano
2021-12-11 07:10:58,2021-12-11 07:15:28,IP Address,100,270,True,R_1QsfYMb4lCpzQbo,PT-BR,2021-12-11 07:15:29,Marketing,Superior (incompleto),Humanas,"De 3 a 6 salários mínimos (R$ 3135,01 até R$ 6270)",10%,25,2,,"Contrato 2:
Você concorda em vender os sistemas de computador no preço de 2013. Sendo assim, em vez de vender a R$1.200 com certeza, você será pago de acordo com a taxa de inflação. Se a inflação passar 20%, você ganhará mais. Se ela for inferior, você ganhará menos.",,Igual,Menos suscetível,,,Aumentou,1 ano
2021-12-11 09:49:41,2021-12-12 05:07:48,IP Address,100,69486,True,R_1hA9HbPqC82t8bw,PT-BR,2021-12-12 05:07:49,"Psicologia ",Pós graduação (completa),Humanas,"De 3 a 6 salários mínimos (R$ 3135,01 até R$ 6270)",10%,25,2,,,"Contrato 2:
Você concorda em vender os sistemas de computador no preço de 2013.",Igual,Igual,,,Aumentou,1 ano
2021-12-12 05:07:22,2021-12-12 05:26:25,IP Address,100,1142,True,R_3CO9JB1JUogLZtJ,PT-BR,2021-12-12 05:26:26,Engenharia Quimica,Pós graduação (incompleta),Exatas,,20%,66,2,"Contrato 2:
Você concorda em vender os computadores no preço de 2013. Sendo assim, se a inflação ultrapassar 20%, você será pago mais do que R$1.200 e se a inflação for inferior a 20%, você será pago menos do que R$1.200. Como ambas despesas de produção e preços estão ligadas a taxa de inflação, seu lucro ""real"" permanecerá essencialmente o mesmo independente da taxa de inflação.",,,,,Mais suscetível,Menos suscetível,Permaneceu o mesmo,1 ano
2021-12-12 06:48:52,2021-12-12 08:39:19,IP Address,100,6627,True,R_3fE7VspyimNPKEY,PT-BR,2021-12-12 08:39:20,Marketing,Superior (incompleto),Humanas,"De 9 a 12 salários mínimos (R$ 9405,01 até R$ 12540)",10%,21,3,,"Contrato 2:
Você concorda em vender os sistemas de computador no preço de 2013. Sendo assim, em vez de vender a R$1.200 com certeza, você será pago de acordo com a taxa de inflação. Se a inflação passar 20%, você ganhará mais. Se ela for inferior, você ganhará menos.",,,,Mais suscetível,Igual,Aumentou,1 ano
2021-12-12 11:04:04,2021-12-12 11:10:14,IP Address,100,369,True,R_31dcdpLyms05QXA,PT-BR,2021-12-12 11:10:14,Psicologia,Superior (completo),Humanas,"De 1 a 3 salários mínimos (R$ 1045,01 até R$ 3135)",Não sei,22,4,,,"Contrato 2:
Você concorda em vender os sistemas de computador no preço de 2013.",Igual,Igual,,,Aumentou,6 meses
2021-12-12 13:34:57,2021-12-12 13:59:33,IP Address,100,1476,True,R_1PTAnAfsw8qDMBO,PT-BR,2021-12-12 13:59:34,Especialização em técnicas integrativas,Superior (completo),Saúde,"De 3 a 6 salários mínimos (R$ 3135,01 até R$ 6270)",30%,61,2,"Contrato 2:
Você concorda em vender os computadores no preço de 2013. Sendo assim, se a inflação ultrapassar 20%, você será pago mais do que R$1.200 e se a inflação for inferior a 20%, você será pago menos do que R$1.200. Como ambas despesas de produção e preços estão ligadas a taxa de inflação, seu lucro ""real"" permanecerá essencialmente o mesmo independente da taxa de inflação.",,,,,Menos suscetível,Menos suscetível,Aumentou,1 ano
2021-12-10 09:41:31,2021-12-12 19:09:27,IP Address,100,206875,True,R_2b2iK7XrO5nmVtR,PT-BR,2021-12-12 19:09:28,Pedagogia Letras,Pós graduação (completa),Humanas,"De 6 a 9 salários mínimos (R$ 6270,01 até R$ 9405)",30%,55,3,"Contrato 2:
Você concorda em vender os computadores no preço de 2013. Sendo assim, se a inflação ultrapassar 20%, você será pago mais do que R$1.200 e se a inflação for inferior a 20%, você será pago menos do que R$1.200. Como ambas despesas de produção e preços estão ligadas a taxa de inflação, seu lucro ""real"" permanecerá essencialmente o mesmo independente da taxa de inflação.",,,Menos suscetível,Mais suscetível,,,Permaneceu o mesmo,2 anos
2021-12-13 08:05:41,2021-12-13 08:13:35,IP Address,100,474,True,R_3HiAZMOonEhvM82,PT-BR,2021-12-13 08:13:35,Marketing,Superior (incompleto),Humanas,"De 9 a 12 salários mínimos (R$ 9405,01 até R$ 12540)",20%,23,2,,,"Contrato 2:
Você concorda em vender os sistemas de computador no preço de 2013.",,,Igual,Igual,Aumentou,1 ano
2021-12-13 09:44:48,2021-12-13 09:52:05,IP Address,100,436,True,R_2zv72NTcWYHw9kE,PT-BR,2021-12-13 09:52:05,Filosofia,Superior (completo),Humanas,Até 1 salário mínimo (R$ 1045),20%,26,1,,"Contrato 2:
Você concorda em vender os sistemas de computador no preço de 2013. Sendo assim, em vez de vender a R$1.200 com certeza, você será pago de acordo com a taxa de inflação. Se a inflação passar 20%, você ganhará mais. Se ela for inferior, você ganhará menos.",,Igual,Igual,,,Permaneceu o mesmo,1 ano
2021-12-13 18:01:05,2021-12-13 18:06:41,IP Address,100,336,True,R_3EuSDGhq54aUrm9,PT-BR,2021-12-13 18:06:41,Nutrição,Pós graduação (completa),Saúde,"De 9 a 12 salários mínimos (R$ 9405,01 até R$ 12540)",20%,26,3,,,"Contrato 2:
Você concorda em vender os sistemas de computador no preço de 2013.",Igual,Igual,,,Permaneceu o mesmo,1 ano
2021-12-13 19:26:35,2021-12-13 19:37:04,IP Address,100,629,True,R_51kZ6IMqIPTSiw9,PT-BR,2021-12-13 19:37:05,,Ensino Médio (completo),Não cursei,"De 3 a 6 salários mínimos (R$ 3135,01 até R$ 6270)",20%,22,4,,"Contrato 2:
Você concorda em vender os sistemas de computador no preço de 2013. Sendo assim, em vez de vender a R$1.200 com certeza, você será pago de acordo com a taxa de inflação. Se a inflação passar 20%, você ganhará mais. Se ela for inferior, você ganhará menos.",,,,Mais suscetível,Menos suscetível,Diminuiu,Não sei
2021-12-14 07:50:25,2021-12-14 08:04:16,IP Address,100,830,True,R_2aKycL2U9nPgmK6,PT-BR,2021-12-14 08:04:16,Odontologia,Superior (completo),Biológicas,"De 12 a 15 salários mínimos (R$ 12540,01 até R$ 15675)",Não sei,59,3,"Contrato 1:
Você concorda em vender os computadores (em 2013) por R$1.200 a peça, independente do preço dos computadores na época. Sendo assim, se a inflação estiver abaixo de 20%, você estará ganhando mais do que o preço de 2013; todavia, se a inflação ultrapassar 20%, você estará ganhando menos do que o preço de 2013. Uma vez que você concordou com um preço fixo, seu lucro vai depender da taxa de inflação.",,,Igual,Igual,,,Permaneceu o mesmo,1 ano
2021-12-14 07:59:49,2021-12-14 08:07:15,IP Address,100,445,True,R_scVoqe3Wx3d19jb,PT-BR,2021-12-14 08:07:15,"Psicologia ",Ensino Médio (completo),Saúde,"De 12 a 15 salários mínimos (R$ 12540,01 até R$ 15675)",20%,22,4,,"Contrato 2:
Você concorda em vender os sistemas de computador no preço de 2013. Sendo assim, em vez de vender a R$1.200 com certeza, você será pago de acordo com a taxa de inflação. Se a inflação passar 20%, você ganhará mais. Se ela for inferior, você ganhará menos.",,,,Igual,Menos suscetível,Permaneceu o mesmo,1 ano
2021-12-14 07:56:03,2021-12-14 08:08:18,IP Address,100,735,True,R_1HoZm0x2PhWPtFB,PT-BR,2021-12-14 08:08:18,Direito,Superior (incompleto),Humanas,"De 9 a 12 salários mínimos (R$ 9405,01 até R$ 12540)",20%,21,4,,,"Contrato 1: ​
Você concorda em vender os sistemas de computador (em 2013) a R$1.200 a peça, independente do preço dos sistemas de computador na época.",,,Mais suscetível,Menos suscetível,Permaneceu o mesmo,1 ano
2021-12-14 07:57:05,2021-12-14 08:11:07,IP Address,100,842,True,R_22nuixzBpthsIcl,PT-BR,2021-12-14 08:11:08,Música e Filosofia,Pós graduação (completa),Humanas,"De 1 a 3 salários mínimos (R$ 1045,01 até R$ 3135)",Não sei,27,1,"Contrato 2:
Você concorda em vender os computadores no preço de 2013. Sendo assim, se a inflação ultrapassar 20%, você será pago mais do que R$1.200 e se a inflação for inferior a 20%, você será pago menos do que R$1.200. Como ambas despesas de produção e preços estão ligadas a taxa de inflação, seu lucro ""real"" permanecerá essencialmente o mesmo independente da taxa de inflação.",,,Menos suscetível,Igual,,,Permaneceu o mesmo,Não sei
2021-12-14 08:09:50,2021-12-14 08:36:04,IP Address,100,1574,True,R_Xhw2afQKShgbnNL,PT-BR,2021-12-14 08:36:04,"Engenharia de Computação ",Superior (incompleto),Exatas,,20%,21,4,,"Contrato 2:
Você concorda em vender os sistemas de computador no preço de 2013. Sendo assim, em vez de vender a R$1.200 com certeza, você será pago de acordo com a taxa de inflação. Se a inflação passar 20%, você ganhará mais. Se ela for inferior, você ganhará menos.",,,,Igual,Igual,Permaneceu o mesmo,1 ano
2021-12-14 08:57:40,2021-12-14 09:06:30,IP Address,100,530,True,R_dgaY7vJ6RKiMs7L,PT-BR,2021-12-14 09:06:30,Letras,Superior (incompleto),Humanas,"Mais de 15 salários mínimos (mais de R$ 15675,01)",20%,22,4,"Contrato 2:
Você concorda em vender os computadores no preço de 2013. Sendo assim, se a inflação ultrapassar 20%, você será pago mais do que R$1.200 e se a inflação for inferior a 20%, você será pago menos do que R$1.200. Como ambas despesas de produção e preços estão ligadas a taxa de inflação, seu lucro ""real"" permanecerá essencialmente o mesmo independente da taxa de inflação.",,,Igual,Igual,,,Permaneceu o mesmo,1 ano
2021-12-14 09:05:32,2021-12-14 09:13:15,IP Address,100,462,True,R_2Vq1fhiECKIznNO,PT-BR,2021-12-14 09:13:15,medicina,Superior (incompleto),Saúde,"Mais de 15 salários mínimos (mais de R$ 15675,01)",20%,22,4,,,"Contrato 2:
Você concorda em vender os sistemas de computador no preço de 2013.",,,Igual,Igual,Aumentou,1 ano
2021-12-14 10:44:44,2021-12-14 10:55:13,IP Address,100,629,True,R_26bb0Ni6fu4Mxhf,PT-BR,2021-12-14 10:55:13,"Medicina ",Superior (incompleto),Saúde,"De 6 a 9 salários mínimos (R$ 6270,01 até R$ 9405)",20%,21,3,,"Contrato 2:
Você concorda em vender os sistemas de computador no preço de 2013. Sendo assim, em vez de vender a R$1.200 com certeza, você será pago de acordo com a taxa de inflação. Se a inflação passar 20%, você ganhará mais. Se ela for inferior, você ganhará menos.",,Igual,Menos suscetível,,,Permaneceu o mesmo,2 anos
2021-12-14 11:00:33,2021-12-14 11:10:07,IP Address,100,573,True,R_3FUToAkE4FcxnIf,PT-BR,2021-12-14 11:10:07,"Administração ",Pós graduação (completa),Humanas,"Mais de 15 salários mínimos (mais de R$ 15675,01)",20%,50,2,,"Contrato 2:
Você concorda em vender os sistemas de computador no preço de 2013. Sendo assim, em vez de vender a R$1.200 com certeza, você será pago de acordo com a taxa de inflação. Se a inflação passar 20%, você ganhará mais. Se ela for inferior, você ganhará menos.",,,,Igual,Igual,Permaneceu o mesmo,1 ano
2021-12-14 11:06:28,2021-12-14 11:22:23,IP Address,100,955,True,R_1qXvTsTV7aH548z,PT-BR,2021-12-14 11:22:23,Psicologia,Superior (incompleto),Saúde,"De 6 a 9 salários mínimos (R$ 6270,01 até R$ 9405)",20%,23,4,"Contrato 2:
Você concorda em vender os computadores no preço de 2013. Sendo assim, se a inflação ultrapassar 20%, você será pago mais do que R$1.200 e se a inflação for inferior a 20%, você será pago menos do que R$1.200. Como ambas despesas de produção e preços estão ligadas a taxa de inflação, seu lucro ""real"" permanecerá essencialmente o mesmo independente da taxa de inflação.",,,Igual,Menos suscetível,,,Aumentou,1 ano
2021-12-14 11:17:30,2021-12-14 11:26:42,IP Address,100,552,True,R_30wTBZ4O9gIEHEa,PT-BR,2021-12-14 11:26:43,Pós graduação em analise comportamental aplicada ao autismo,Pós graduação (incompleta),Saúde,"De 9 a 12 salários mínimos (R$ 9405,01 até R$ 12540)",20%,23,2,,,"Contrato 1: ​
Você concorda em vender os sistemas de computador (em 2013) a R$1.200 a peça, independente do preço dos sistemas de computador na época.",,,Mais suscetível,Menos suscetível,Aumentou,1 ano
2021-12-14 12:57:46,2021-12-14 13:04:24,IP Address,100,398,True,R_SNrTaJavLmtITnj,PT-BR,2021-12-14 13:04:25,"Psicologia ",Superior (incompleto),Saúde,"De 6 a 9 salários mínimos (R$ 6270,01 até R$ 9405)",Não sei,22,3,"Contrato 2:
Você concorda em vender os computadores no preço de 2013. Sendo assim, se a inflação ultrapassar 20%, você será pago mais do que R$1.200 e se a inflação for inferior a 20%, você será pago menos do que R$1.200. Como ambas despesas de produção e preços estão ligadas a taxa de inflação, seu lucro ""real"" permanecerá essencialmente o mesmo independente da taxa de inflação.",,,Menos suscetível,Menos suscetível,,,Não sei,1 ano
2021-12-14 13:45:32,2021-12-14 13:53:16,IP Address,100,463,True,R_1JY4iGW8O6CgRkJ,PT-BR,2021-12-14 13:53:16,"Nutrição ",Superior (incompleto),Saúde,"Mais de 15 salários mínimos (mais de R$ 15675,01)",30%,21,5,,"Contrato 2:
Você concorda em vender os sistemas de computador no preço de 2013. Sendo assim, em vez de vender a R$1.200 com certeza, você será pago de acordo com a taxa de inflação. Se a inflação passar 20%, você ganhará mais. Se ela for inferior, você ganhará menos.",,Mais suscetível,Igual,,,Aumentou,1 ano
2021-12-14 15:03:50,2021-12-14 15:10:01,IP Address,100,370,True,R_3scWLLU2vRf8NbP,PT-BR,2021-12-14 15:10:01,Publicidade e Peopaganda,Superior (completo),Humanas,"De 12 a 15 salários mínimos (R$ 12540,01 até R$ 15675)",Não sei,21,4,,,"Contrato 2:
Você concorda em vender os sistemas de computador no preço de 2013.",,,Mais suscetível,Igual,Aumentou,1 ano
2021-12-15 15:29:07,2021-12-15 15:34:42,IP Address,100,335,True,R_ylFY4lnJNAwDNDP,PT-BR,2021-12-15 15:34:42,Administração,Pós graduação (completa),Exatas,"De 1 a 3 salários mínimos (R$ 1045,01 até R$ 3135)",20%,30,2,"Contrato 2:
Você concorda em vender os computadores no preço de 2013. Sendo assim, se a inflação ultrapassar 20%, você será pago mais do que R$1.200 e se a inflação for inferior a 20%, você será pago menos do que R$1.200. Como ambas despesas de produção e preços estão ligadas a taxa de inflação, seu lucro ""real"" permanecerá essencialmente o mesmo independente da taxa de inflação.",,,Menos suscetível,Menos suscetível,,,Aumentou,Não sei
2021-12-16 14:41:02,2021-12-16 14:55:57,IP Address,100,895,True,R_2sTMb6O8x8ZFP86,PT-BR,2021-12-16 15:10:58,Adm,Pós graduação (completa),Exatas,"Mais de 15 salários mínimos (mais de R$ 15675,01)",30%,50,3,,,"Contrato 2:
Você concorda em vender os sistemas de computador no preço de 2013.",,,Igual,Igual,Permaneceu o mesmo,1 ano
2021-12-03 08:17:40,2021-12-09 18:12:32,IP Address,3,554092,False,R_3MMeim32e7A46Ez,PT-BR,2021-12-16 18:12:39,,,,,,,,,,,,,,,,
2021-12-09 18:24:56,2021-12-09 18:25:10,IP Address,3,14,False,R_2UgyRW96y5WihFS,PT-BR,2021-12-16 18:25:11,,,,,,,,,,,,,,,,
2021-12-09 18:26:07,2021-12-09 18:27:10,IP Address,3,63,False,R_25RA3JmfLtudmUu,PT-BR,2021-12-16 18:27:14,,,,,,,,,,,,,,,,
2021-12-16 18:28:50,2021-12-16 18:46:47,IP Address,100,1077,True,R_0rlIZfutInnfgU9,PT-BR,2021-12-16 18:46:47,Arquitetura,Superior (completo),Humanas,"Mais de 15 salários mínimos (mais de R$ 15675,01)",20%,65,4,,,"Contrato 1: ​
Você concorda em vender os sistemas de computador (em 2013) a R$1.200 a peça, independente do preço dos sistemas de computador na época.",,,Mais suscetível,Menos suscetível,Permaneceu o mesmo,1 ano
2021-12-16 18:35:39,2021-12-16 18:57:19,IP Address,100,1300,True,R_1HpNRPKAmcYzxLc,PT-BR,2021-12-16 18:57:19,Administracao,Superior (incompleto),Exatas,"De 1 a 3 salários mínimos (R$ 1045,01 até R$ 3135)",20%,67,2,,"Contrato 2:
Você concorda em vender os sistemas de computador no preço de 2013. Sendo assim, em vez de vender a R$1.200 com certeza, você será pago de acordo com a taxa de inflação. Se a inflação passar 20%, você ganhará mais. Se ela for inferior, você ganhará menos.",,Igual,Menos suscetível,,,Aumentou,1 ano
2021-12-09 19:25:49,2021-12-09 19:28:21,IP Address,50,151,False,R_1IRVDcTOOZSksOs,PT-BR,2021-12-16 19:28:25,"Psicologia ",Superior (incompleto),Saúde,"De 12 a 15 salários mínimos (R$ 12540,01 até R$ 15675)",,22,3,,,,,,,,,
2021-12-09 19:29:34,2021-12-09 19:33:02,IP Address,57,208,False,R_AoYibnhXQQ6MCNr,PT-BR,2021-12-16 19:33:04,Direito,Pós graduação (completa),Humanas,"De 6 a 9 salários mínimos (R$ 6270,01 até R$ 9405)",,24,1,,,,,,,,,
2021-12-16 19:40:53,2021-12-16 20:02:35,IP Address,100,1302,True,R_1FzzKDwjCZefNcT,PT-BR,2021-12-16 20:02:36,teste,Ensino Fundamental (incompleto),Humanas,Nenhuma,30%,21,1,"Contrato 2:
Você concorda em vender os computadores no preço de 2013. Sendo assim, se a inflação ultrapassar 20%, você será pago mais do que R$1.200 e se a inflação for inferior a 20%, você será pago menos do que R$1.200. Como ambas despesas de produção e preços estão ligadas a taxa de inflação, seu lucro ""real"" permanecerá essencialmente o mesmo independente da taxa de inflação.",,,,,Mais suscetível,Menos suscetível,Aumentou,1 ano
2021-12-09 21:17:36,2021-12-09 21:19:20,IP Address,3,104,False,R_3nuEObmTgIhs6pr,PT-BR,2021-12-16 21:19:24,,,,,,,,,,,,,,,,
2021-12-09 21:22:30,2021-12-09 21:22:46,IP Address,10,15,False,R_1FyttDPKPJ9yEkv,PT-BR,2021-12-16 21:22:47,,,,,,,,,,,,,,,,
2021-12-17 03:54:07,2021-12-17 04:13:40,IP Address,100,1172,True,R_2b3pBRz3ySGXeRg,PT-BR,2021-12-17 04:13:40,gestão da produção industrial,Superior (completo),Exatas,"Mais de 15 salários mínimos (mais de R$ 15675,01)",10%,30,4,,"Contrato 2:
Você concorda em vender os sistemas de computador no preço de 2013. Sendo assim, em vez de vender a R$1.200 com certeza, você será pago de acordo com a taxa de inflação. Se a inflação passar 20%, você ganhará mais. Se ela for inferior, você ganhará menos.",,Mais suscetível,Menos suscetível,,,Aumentou,1 ano
2021-12-10 04:17:12,2021-12-10 04:18:46,IP Address,50,93,False,R_2urmpeWq2S2oozR,PT-BR,2021-12-17 04:18:48,"Engenharia Quimica ",Superior (incompleto),Exatas,"De 3 a 6 salários mínimos (R$ 3135,01 até R$ 6270)",,22,3,,,,,,,,,
2021-12-10 07:58:06,2021-12-10 07:58:42,IP Address,7,35,False,R_1pEjImM35BYC2iQ,PT-BR,2021-12-17 07:58:43,,,,,,,,,,,,,,,,
2021-12-10 08:35:58,2021-12-10 08:37:16,IP Address,23,77,False,R_1mWvNaCojXYR1s4,PT-BR,2021-12-17 08:37:17,,Superior (completo),,,,21,,,,,,,,,,
2021-12-10 08:00:43,2021-12-10 08:40:02,IP Address,97,2358,False,R_1j6yZZ9549gAJxA,PT-BR,2021-12-17 08:40:06,"Administração de empresa com enfase em análise de sistemas, e pós graduação em marketing",Pós graduação (completa),Humanas,"De 3 a 6 salários mínimos (R$ 3135,01 até R$ 6270)",30%,57,3,"Contrato 2:
Você concorda em vender os computadores no preço de 2013. Sendo assim, se a inflação ultrapassar 20%, você será pago mais do que R$1.200 e se a inflação for inferior a 20%, você será pago menos do que R$1.200. Como ambas despesas de produção e preços estão ligadas a taxa de inflação, seu lucro ""real"" permanecerá essencialmente o mesmo independente da taxa de inflação.",,,,,Igual,Menos suscetível,Permaneceu o mesmo,1 ano
